startdate,hectares,cause,lat,lon,province
2023-08-05,0.1,Natural,52.627,-93.999,Ontario
2023-08-05,0.1,Human,52.699,-94.086,Ontario
2023-08-05,0.1,Human,50.728,-94.061,Ontario
2023-08-06,0.9,Natural,50.774,-93.815,Ontario
2023-08-12,1178.8,Natural,52.306,-94.818,Ontario
2023-08-12,0.4,Natural,51.737,-92.586,Ontario
2023-08-13,0.1,Natural,51.796,-92.694,Ontario
2023-08-19,0.1,Natural,50.834,-92.728,Ontario
2023-08-20,0.5,Natural,51.257,-93.498,Ontario
2023-09-12,0.1,Human,52.93,-93.636,Ontario
2023-09-13,0.1,Human,51.885,-92.616,Ontario
2023-09-26,0.1,Human,53.078,-93.339,Ontario
2023-05-15,9.0,Human,46.753,-83.696,Ontario
2023-05-26,0.1,Human,46.719,-84.346,Ontario
2023-06-04,3.1,Natural,46.372,-82.877,Ontario
2023-06-06,14.4,Natural,46.23,-82.762,Ontario
2023-06-06,2.0,Natural,46.98,-83.595,Ontario
2023-06-06,4.0,Natural,46.985,-83.643,Ontario
2023-06-08,1.2,Natural,47.209,-83.643,Ontario
2023-06-24,0.1,Human,46.782,-84.365,Ontario
2023-07-31,0.1,Natural,46.201,-82.642,Ontario
